,artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
34,The Internet,"Palace/Curse (feat. Tyler, The Creator & Steve Lacy)",300DUx4tdtCdGEUXR032jA,Ego Death,69g3CtOVg98TPOwqmI2K7Q,2015-06-26,440013,62,True,0.447,0.625,10,-8.212,0,0.323,0.0351,0.000727,0.243,0.261,67.104,4,"[['Tyler, The Creator', 'Steve Lacy']]"
35,ScHoolboy Q,The Purge,1oQJ26nHHgHh45WqyA59GF,Oxymoron (Deluxe),7Et3bSTLLqdABO1qCxUplS,2014-01-01,294053,43,True,0.621,0.641,10,-6.76,0,0.465,0.035,0.0,0.259,0.387,168.327,4,"[['Tyler, The Creator', 'Kurupt']]"
36,MellowHigh,"Remix (feat. Tyler, The Creator)",06rLDEJNtQf5EUo6ALjSEf,MellowHigh,4azVkVe6yeIBhFVyECag4j,2013-10-31,170226,31,True,0.413,0.664,11,-8.701,0,0.322,0.0198,0.0,0.102,0.385,163.341,4,"[['Tyler, The Creator']]"
37,Earl Sweatshirt,"Whoa (feat. Tyler, The Creator)",1rW2nkUbmKD2MC22YrU8cX,Doris,5vRfIDOPJHy3W2wHWbzLlE,2013-08-16,196426,50,True,0.541,0.748,2,-6.321,1,0.31,0.00141,3.1e-06,0.322,0.351,79.616,4,"[['Tyler, The Creator']]"
38,Earl Sweatshirt,"Sasquatch (feat. Tyler, The Creator)",5BikEzeYYFtRvR1CL1UTRg,Doris,5vRfIDOPJHy3W2wHWbzLlE,2013-08-16,168240,45,True,0.457,0.687,9,-7.506,1,0.316,0.0123,0.0,0.703,0.217,80.51,4,"[['Tyler, The Creator']]"
39,Mac Miller,O.K. (Bonus Track),5Zxag6MRK1YCumP1XP3lZg,Watching Movies with the Sound Off (Deluxe Edition),3T02fCxAjApu18taJLLbyN,2013-06-18,160868,0,True,0.814,0.741,1,-6.863,1,0.43,0.0579,0.0,0.223,0.764,115.211,4,"[['Tyler, The Creator']]"
40,Trash Talk,"Blossom & Burn (feat. Hodgy & Tyler, The Creator)",1hIIXXrgAExOVgkMcIipI4,119,3q81wYkuErRE4zeihVDeGu,2012-10-09,151013,23,True,0.344,0.872,9,-4.112,1,0.0505,0.00102,1.5e-05,0.162,0.232,133.861,4,"[['Hodgy', 'Tyler, The Creator']]"
41,Casey Veggies,"PNCINTLOFWGKTA (feat. Domo Genesis, Earl Sweatshirt, Hodgy & Tyler, The Creator)",2TgzqsJDeNH1BXomOyj94o,Customized Greatly Vol. 3,4dcg79r3qkQVz7vrjeLS8u,2012-04-09,256800,19,True,0.638,0.742,2,-6.915,1,0.334,0.127,0.0,0.39,0.589,77.952,4,"[['Domo Genesis', 'Earl Sweatshirt', 'Hodgy', 'Tyler, The Creator']]"
42,Odd Future,Oldie,53dkS3h9uTNsWYZTPacnpx,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,2012-03-16,636213,58,True,0.839,0.583,1,-5.941,1,0.268,0.239,0.0,0.262,0.564,87.99,4,[[]]
43,Odd Future,"NY (Ned Flander) (feat. Hodgy & Tyler, The Creator)",16PwJffEjvS0WjbaG92ScL,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,2012-03-16,159146,38,True,0.609,0.576,1,-9.992,1,0.45,0.119,0.0076,0.1,0.527,163.817,4,"[['Hodgy', 'Tyler, The Creator']]"
44,Odd Future,"Analog 2 (feat. Tyler, The Creator, Frank Ocean & Sydney Bennett)",0d8ONGx43ZprlHlmLZODpD,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,2012-03-16,276386,55,True,0.599,0.673,1,-8.363,1,0.566,0.229,3.77e-05,0.066,0.262,148.044,4,"[['Tyler, The Creator', 'Frank Ocean', 'Syd']]"
45,Odd Future,"Rella (feat. Hodgy, Domo Genesis & Tyler, The Creator)",3v7GtykYEMuSg4dQyw4qZb,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,2012-03-16,190253,42,True,0.545,0.75,4,-6.485,0,0.312,0.159,0.0,0.147,0.881,138.768,4,"[['Hodgy', 'Domo Genesis', 'Tyler, The Creator']]"
46,Odd Future,"P (feat. Hodgy & Tyler, The Creator)",7MT9QdnGDvZ9jvDTElR75v,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,2012-03-16,195640,35,True,0.619,0.669,11,-7.732,1,0.375,0.0603,0.0,0.124,0.588,79.793,4,"[['Hodgy', 'Tyler, The Creator']]"
47,Odd Future,"Hcapd (feat. Domo Genesis, Hodgy & Tyler, The Creator)",4eVMZcIz4kNgeQNjlKGZbl,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,2012-03-16,220746,31,True,0.447,0.726,11,-7.636,0,0.366,0.0569,1.28e-06,0.276,0.545,91.038,3,"[['Domo Genesis', 'Hodgy', 'Tyler, The Creator']]"
48,Odd Future,"Sam (Is Dead) (feat. Domo Genesis & Tyler, The Creator)",67nRofeeMvysUeO4FxB6tL,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,2012-03-16,202066,48,True,0.504,0.634,5,-8.582,0,0.394,0.385,0.000396,0.151,0.463,80.996,4,"[['Domo Genesis', 'Tyler, The Creator']]"
49,Odd Future,"We Got Bitches (feat. Tyler, The Creator, Taco & Jasper Dolphin)",0dv0qdbMZ6rJQzWMbxqerR,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,2012-03-16,199333,34,True,0.689,0.524,8,-6.281,0,0.428,0.043,0.0,0.157,0.605,81.374,4,"[['Tyler, The Creator', 'Taco', 'Jasper Dolphin']]"
50,Pusha T,Trouble On My Mind,2ztyTz3H928W2bVb9qXBlB,Fear Of God II: Let Us Pray,0tS7jye0zKwGF0H4rqFGvz,2011-11-08,212506,0,True,0.645,0.785,6,-6.016,0,0.365,0.0705,0.000111,0.38,0.673,172.174,4,"[['Tyler, The Creator']]"
51,Jet Age of Tomorrow,"Welcome Home Son (feat. Tyler, The Creator & Casey Veggies)",6XOlxdDpGxcxaSD834sTwJ,12 Odd Future Songs,2EL4Tqtj9eXAjxcKPDIyu1,2011-10-03,174133,35,True,0.391,0.784,2,-8.626,1,0.37,0.0489,0.0,0.119,0.346,161.041,4,"[['Tyler, The Creator', 'Casey Veggies']]"
52,Domo Genesis,"Rolling Papers (feat. Tyler, The Creator)",2q35pHabpVH0UPBfDXskvP,12 Odd Future Songs,2EL4Tqtj9eXAjxcKPDIyu1,2011-10-03,172840,45,True,0.669,0.795,1,-7.072,1,0.405,0.0819,0.0,0.114,0.654,82.057,4,"[['Tyler, The Creator']]"
53,Casey Veggies,DTA,6SfqAuzvIHbERSO5c613P0,Sleeping in Class,5VQnHe5Wcji6wNbiAnMQ21,2011-09-20,240520,43,False,0.366,0.946,3,-1.401,0,0.363,0.222,0.0,0.178,0.706,160.815,4,"[['Tyler, The Creator']]"
54,MellowHype,F666 the Police,0MfIT9RpAUGHjol2iQzXiq,Blackenedwhite,7KLG5Qk1Y9gLzSjdNdR96l,2011-07-12,192386,20,True,0.52,0.663,1,-5.751,1,0.231,0.0609,0.0,0.439,0.276,125.315,4,[[]]
55,The Game,Martians Vs Goblins,1UIcqXAA24eg76EFWViwr5,The R.E.D. Album,6PvZnd9Q2ymDo3gpoM5I37,2011-01-01,228826,51,True,0.476,0.81,4,-3.414,0,0.265,0.0803,0.0,0.568,0.642,83.309,4,"[['Lil Wayne', 'Tyler, The Creator']]"
56,Mike G,Timeless,5GYJvoJUMVyikb2D5sUwVg,Ali,5cVudF06zoMgAbXIRkk6aR,2010-04-11,191503,19,True,0.606,0.767,10,-7.689,0,0.497,0.285,0.0,0.119,0.689,79.92,4,[[]]
57,Mike G,BlaccFriday,7GJYd0MLHdnVLQ3G1AqNZK,Ali,5cVudF06zoMgAbXIRkk6aR,2010-04-11,238053,21,True,0.538,0.534,8,-8.348,1,0.303,0.227,0.0,0.167,0.416,178.268,4,[[]]
